,edit_count,sentiment,neg_sentiment
2017-09-18,4.1,-0.4184043014451625,0.6315873015873016
2017-09-19,4.066666666666666,-0.4145217512453359,0.6288095238095238
2017-09-20,4.0,-0.41506231470950067,0.6121428571428571
2017-09-21,3.8,-0.39357296371507267,0.5843650793650794
2017-09-22,3.7,-0.37962741115027004,0.5772222222222222
2017-09-23,3.533333333333333,-0.3937749818795257,0.5838888888888889
2017-09-24,3.5,-0.37488116381896863,0.573888888888889
2017-09-25,3.533333333333333,-0.38182866813408006,0.5766666666666667
2017-09-26,3.3333333333333335,-0.3794849217765861,0.56
2017-09-27,3.3,-0.3926198850903246,0.5666666666666667
2017-09-28,3.6333333333333333,-0.4126193446748786,0.5933333333333334
2017-09-29,3.6333333333333333,-0.3997255502972338,0.5866666666666666
2017-09-30,3.433333333333333,-0.4216683270699448,0.5811111111111111
2017-10-01,3.533333333333333,-0.4159752344588439,0.5922222222222223
2017-10-02,3.5,-0.38273477112253507,0.558888888888889
2017-10-03,4.033333333333333,-0.3961363252749045,0.5818055555555557
2017-10-04,4.3,-0.3836653735985358,0.575138888888889
2017-10-05,4.466666666666667,-0.37887026853859423,0.5884722222222223
2017-10-06,4.5,-0.346524120743076,0.5718055555555556
2017-10-07,5.133333333333334,-0.3389454769839843,0.5684722222222223
2017-10-08,5.066666666666666,-0.33402838290802067,0.5654960317460318
2017-10-09,5.566666666666666,-0.3149874830819896,0.5556921101774043
2017-10-10,6.133333333333334,-0.31199355513077726,0.5464328509181452
2017-10-11,6.966666666666667,-0.3279326145585836,0.5555598350451291
2017-10-12,7.5,-0.34439514164988805,0.5805598350451291
2017-10-13,7.566666666666666,-0.3389132830983858,0.5766709461562403
2017-10-14,7.866666666666666,-0.3169559445798193,0.564448723934018
2017-10-15,8.1,-0.31982910208645865,0.5659638754491696
2017-10-16,8.333333333333334,-0.3256102803180511,0.5715194310047252
2017-10-17,8.566666666666666,-0.29530627861584846,0.5548527643380585
2017-10-18,8.7,-0.29033290348085056,0.5506860976713919
2017-10-19,9.0,-0.29364814312887483,0.5506860976713918
2017-10-20,9.1,-0.28730049548843456,0.5617972087825029
2017-10-21,9.233333333333333,-0.27473383017678016,0.5701305421158362
2017-10-22,9.233333333333333,-0.2907314009298777,0.5784638754491696
2017-10-23,9.433333333333334,-0.25701252055103896,0.5602820572673514
2017-10-24,9.433333333333334,-0.2873617771460148,0.5769487239340181
2017-10-25,9.333333333333334,-0.3000792590969336,0.5852820572673514
2017-10-26,9.366666666666667,-0.3315779813322954,0.6186153906006847
2017-10-27,9.266666666666667,-0.33154705546235363,0.6186153906006847
2017-10-28,8.933333333333334,-0.3115475958777996,0.5919487239340181
2017-10-29,8.766666666666667,-0.30346722863053605,0.5719487239340181
2017-10-30,8.766666666666667,-0.30346722863053605,0.5719487239340181
2017-10-31,8.666666666666666,-0.30916032124163695,0.5608376128229069
2017-11-01,8.733333333333333,-0.3423915319502551,0.5941709461562402
2017-11-02,8.3,-0.3621270952897137,0.6045876128229071
2017-11-03,8.1,-0.3614258779363697,0.6029209461562404
2017-11-04,7.933333333333334,-0.3662209829963113,0.589587612822907
2017-11-05,7.866666666666666,-0.3903682039456432,0.6062542794895737
2017-11-06,7.2,-0.3647247843222683,0.5762542794895736
2017-11-07,6.8,-0.34905770613945747,0.5667304699657641
2017-11-08,6.233333333333333,-0.33499608267835124,0.5432010582010582
2017-11-09,5.7,-0.3546084720397681,0.5524603174603174
2017-11-10,4.766666666666667,-0.34657632835610747,0.5322222222222223
2017-11-11,4.466666666666667,-0.34427852181143465,0.5310317460317461
2017-11-12,4.1,-0.3695298562203536,0.5449206349206349
2017-11-13,3.8,-0.3817951268376268,0.5515873015873016
2017-11-14,3.433333333333333,-0.3769306978550366,0.5334054834054833
2017-11-15,3.1333333333333333,-0.3666414683472371,0.5111832611832612
2017-11-16,2.7333333333333334,-0.3649274526779442,0.4945165945165945
2017-11-17,2.3333333333333335,-0.34808506936608974,0.46951659451659455
2017-11-18,1.9333333333333333,-0.3340242487269563,0.44729437229437236
2017-11-19,1.8333333333333333,-0.3403718963673965,0.43618326118326123
2017-11-20,1.8,-0.34278875494115113,0.43896103896103894
2017-11-21,1.6666666666666667,-0.32636355463775557,0.413961038961039
2017-11-22,1.3666666666666667,-0.3601156814940392,0.43214285714285716
2017-11-23,1.2666666666666666,-0.3518226806370039,0.43214285714285716
2017-11-24,1.2333333333333334,-0.3185422881491601,0.39880952380952384
2017-11-25,1.3,-0.2970788734536322,0.38769841269841276
2017-11-26,1.5,-0.2792456800265918,0.3781746031746032
2017-11-27,1.5666666666666667,-0.284314932875217,0.3948412698412699
